Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Shava Hawklight,@smcrafty,70,Devoted Cleric,Order of Ni,0,5/22/2016 8:37:34 PM,,5/22/2016 8:38:19 PM,"","",
Kahiri,@gorbad13,70,Trickster Rogue,Order of the Wolf,0,7/31/2015 1:59:08 AM,,5/19/2016 2:01:18 AM,"","",
Blabadir,@blababir,62,Devoted Cleric,Order of Ni,0,2/12/2016 2:59:28 PM,,4/22/2016 4:52:57 AM,"","blabidur alt",2/12/2016 3:00:28 PM
Faith,@andybones65,70,Devoted Cleric,Order of the Golden Shield,0,5/23/2015 9:02:16 AM,,5/23/2016 12:57:19 AM,"","",
Blababir,@blababir,67,Great Weapon Fighter,Order of Ni,0,2/4/2016 6:02:42 PM,,4/26/2016 8:44:45 AM,"","",
Ramrod,@panicbutton7,70,Guardian Fighter,Order of Ni,0,9/13/2015 7:47:30 AM,,5/23/2016 11:40:25 AM,"","",
Keira Duskwalker,@gorbad13,70,Great Weapon Fighter,Order of Ni,0,1/18/2016 9:53:28 AM,,5/22/2016 5:17:34 PM,"","",
Kylin,@krausen1337,70,Control Wizard,Order of the Golden Shield,0,8/12/2015 6:22:59 PM,,5/23/2016 3:43:31 AM,"","",
Scabandari Bloodeye,@donbantu,70,Great Weapon Fighter,Order of Ni,0,4/9/2016 5:31:47 PM,,5/22/2016 4:07:26 PM,"","",
Insane,@panicbutton8,70,Trickster Rogue,Order of Ni,0,9/13/2015 7:52:44 AM,,5/23/2016 5:09:49 AM,"","",
Trina Angerona,@psurfer85m,70,Devoted Cleric,Order of the Aegis-Fang,0,9/22/2015 8:59:31 AM,,5/22/2016 8:11:12 PM,"","3.9 Virtuous",4/29/2016 2:52:49 PM
Thom Urthadar,@Indus-Wolf,70,Hunter Ranger,Order of the Dragon,0,6/6/2015 11:33:36 AM,,5/23/2016 2:22:50 AM,"","",
ArroMan,@andybones65,70,Hunter Ranger,Order of the Golden Shield,0,5/24/2015 10:23:27 AM,,5/23/2016 12:56:23 AM,"","",
ainia Lelantus,@elysandrias,70,Hunter Ranger,Order of the Aegis-Fang,0,12/6/2015 4:46:29 PM,,5/8/2016 2:21:15 PM,"","3.2k HR ",4/7/2016 6:06:11 PM
Valna Huntinghawk,@myraed,70,Hunter Ranger,Order of the Wolf,0,8/16/2015 5:19:18 PM,,5/22/2016 8:55:04 PM,"","",
Domminus Moondrifter,@dominicetheridge,70,Hunter Ranger,Order of Ni,0,10/16/2015 6:41:33 PM,,5/22/2016 6:05:01 PM,"","70 HR 2.550 GR rating",1/23/2016 1:23:28 PM
Athas Taldiran,@Kurrail,70,Hunter Ranger,Order of the Wolf,0,12/22/2015 9:36:35 AM,,5/23/2016 9:46:41 AM,"","",
shade,@superbarbie54,70,Hunter Ranger,Order of the Wolf,0,4/10/2015 8:46:18 AM,,5/19/2016 2:31:33 AM,"","",
Sherath,@crayden1,70,Control Wizard,Order of the Wolf,0,5/31/2015 10:50:04 PM,,5/19/2016 10:00:44 AM,"","",
farseer,@flyingleon,70,Control Wizard,Order of the Golden Shield,0,8/14/2015 5:09:51 PM,,5/22/2016 6:55:42 PM,"","MoF Renegade CW",2/13/2016 4:23:18 PM
Keyleth Loreweaver,@toreberg,70,Hunter Ranger,Order of the Charon's Claw,0,1/31/2016 5:02:50 PM,,5/23/2016 11:45:13 AM,"","",
The only potato,@nwwizard,70,Hunter Ranger,Order of Ni,0,1/2/2016 4:55:44 PM,,5/23/2016 11:18:24 AM,"","faze alt",1/4/2016 12:42:58 AM
Zeldran Blackurn,@blackurn1,70,Control Wizard,Order of the Aegis-Fang,0,4/2/2015 4:09:51 PM,,5/23/2016 11:38:53 AM,"","3.2k Storm/Renegade Tplague Buff/debuff",5/16/2016 11:47:06 AM
leon,@flyingleon,70,Guardian Fighter,Order of the Golden Shield,0,11/25/2015 3:45:59 PM,,5/22/2016 6:43:34 PM,"","SM tactician newbie 70",12/9/2015 6:29:32 PM
Ellenan Xorlarrin,@felixkelll,70,Hunter Ranger,Order of Ni,0,5/21/2016 5:08:20 PM,,5/23/2016 4:38:42 AM,"","",
Samm Windsailor,@silence1x,70,Hunter Ranger,Order of Ni,0,5/20/2016 7:31:01 PM,,5/22/2016 5:12:54 PM,"","",
Warspirit,@warrspirit,70,Great Weapon Fighter,Order of Ni,0,4/8/2016 3:43:05 AM,,5/22/2016 10:52:56 PM,"","",
Eirawen Accalia,@gtpx99,70,Hunter Ranger,Order of the Aegis-Fang,0,9/14/2015 6:05:10 PM,,5/21/2016 11:40:00 PM,"","2.8k - DPS/CC",3/26/2016 9:58:02 PM
Arcane MassEffect,@warrspirit,70,Control Wizard,Order of the Wolf,0,12/26/2015 3:07:28 PM,,5/23/2016 1:44:42 AM,"","3k gear CW.Renagade.Lightning.High.Buff/DeBuff",2/28/2016 5:06:08 PM
Tonibar Greatgrip,@blackurn1,70,Great Weapon Fighter,Order of the Wolf,0,8/6/2015 3:41:46 PM,,5/23/2016 11:21:50 AM,"","2.8k destroyer",3/23/2016 10:11:37 PM
Lady Jade,@Lady-Frost,70,Great Weapon Fighter,Order of Ni,0,3/20/2016 7:41:53 PM,,5/23/2016 2:54:48 AM,"","",
Grend,@irriated,70,Trickster Rogue,Order of the Aegis-Fang,0,9/22/2015 8:58:17 AM,,4/19/2016 9:12:03 PM,"","3.2 k",2/13/2016 3:26:51 PM
Agrikaan,@agrikaanus,70,Great Weapon Fighter,Order of Ni,0,12/31/2015 4:57:37 PM,,5/17/2016 2:37:40 PM,"","",
Agrikaanus,@agrikaanus,70,Devoted Cleric,Order of Ni,0,1/1/2016 1:21:50 AM,,5/17/2016 2:39:50 PM,"","",
Chan,@andybones65,70,Guardian Fighter,Order of the Golden Shield,0,5/4/2015 9:42:23 AM,,5/23/2016 12:55:05 AM,"","",
Smashgrrl Nitro,@draekros,70,Great Weapon Fighter,Order of the Dragon,0,7/23/2015 4:56:49 PM,,5/22/2016 11:41:31 AM,"","",
Kaelyx,@sherifftruman,70,Trickster Rogue,Order of the Dragon,0,7/30/2015 3:12:20 PM,3/27/2016 2:50:54 AM,5/23/2016 12:29:09 AM,"","3K TR, usually up for anything",4/30/2016 1:46:29 PM
Jondal of Ar,@meayla,70,Hunter Ranger,Order of Ni,0,1/23/2016 5:42:02 AM,,5/23/2016 1:24:44 AM,"","2.6 k alt of Akta Anis",5/8/2016 1:55:23 PM
Zanros,@elrik70,70,Guardian Fighter,Order of Ni,0,3/17/2016 12:33:10 AM,,4/22/2016 10:19:35 PM,"","Heya",4/16/2016 4:51:53 PM
Katnis,@superbarbie54,70,Hunter Ranger,Order of Ni,0,8/21/2015 1:41:11 AM,,5/19/2016 2:30:11 AM,"","",
GodBone,@simpleo,70,Control Wizard,Order of the Wolf,0,12/15/2015 9:39:53 AM,,5/20/2016 8:48:33 AM,"","",,"joined 12-15-15",mirage@tantalic,1/13/2016 8:16:13 PM
Keira Urthadar,@toreberg,70,Devoted Cleric,Order of the Charon's Claw,0,9/11/2015 4:33:49 PM,,5/23/2016 11:49:21 AM,"","",
Bran Blackgate,@dominicetheridge,70,Control Wizard,Order of Ni,0,12/7/2015 9:24:33 PM,,5/22/2016 5:43:39 PM,"","",
Varis Darksbane,@kerravon67,70,Control Wizard,Order of the Wolf,0,12/30/2015 4:03:52 PM,,5/7/2016 6:33:23 PM,"","",
Match,@vivmatch,70,Trickster Rogue,Order of Ni,0,12/24/2015 11:28:20 PM,,4/19/2016 12:16:33 PM,"","",
Elerra Tuin,@nuitrari,70,Hunter Ranger,Order of Ni,0,9/26/2015 12:49:03 PM,,5/23/2016 10:22:38 AM,"","",
Rest in Ashes,@alphablaze22,70,Great Weapon Fighter,Order of Ni,0,4/18/2016 11:22:10 PM,,5/19/2016 11:12:05 PM,"","",
Dorrian,@dungra34,70,Guardian Fighter,Order of the Aegis-Fang,0,4/3/2016 8:17:06 PM,5/11/2016 8:20:55 PM,5/23/2016 11:02:11 AM,"","",
Lysander,@seraeric,70,Hunter Ranger,Order of Ni,0,10/29/2015 8:53:49 PM,,5/21/2016 8:21:38 PM,"","",1/31/2016 10:40:05 PM
Dhii,@lievcocijo,70,Hunter Ranger,Order of the Aegis-Fang,0,4/8/2015 11:26:10 PM,,5/23/2016 8:44:49 AM,"","Unofficial moat fishes tender",9/26/2015 8:19:19 PM
Gegieathelle,@ken60480,70,Hunter Ranger,Order of the Wolf,0,6/12/2015 6:57:07 PM,,5/16/2016 4:03:12 PM,"","",
